Link,Author Keywords
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994745056&partnerID=40&md5=64023d71ea668e479a674d89e4cb7521","Deep uncertainty; Probabilities; Probability bounds; Robust decision making"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994779131&partnerID=40&md5=1b669a6ac6050d9b904d02e0005d6578","Activity recognition; Dempster–Shafer theory; Missing sensor data; Ontological reasoning; Uncertainty reasoning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991486853&partnerID=40&md5=26fc79946a7d3716de0496f9626f2cc7","Adaptation pathways; Deep uncertainty; Dynamic Adaptive Policy Pathways; Flexibility; Robust Decision-making; Robustness; Scenario discovery"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992371589&partnerID=40&md5=029b232a0826b001b8f3907d86f16af8","Decision space visualizations; Decision support tools; Robust decision making; Scenario modeling; Uncertainty; Water resource"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988493689&partnerID=40&md5=d9a681ca374e627ae1650ec861934c6f","Answer set programming; Automated planning; Autonomous robot; Reinforcement learning; Robot learning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988928468&partnerID=40&md5=ee7ae8588d934c7ca3066abb97a8584b","Building simulation; Gaussian process emulator; Monte Carlo simulation; Polynomial chaos expansion; Uncertainty quantification"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991712842&partnerID=40&md5=954fb67088f187ca86bc10602da051d2","Decision support systems; Mineral economics; Physical separation; Stochastic optimisation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995745554&partnerID=40&md5=6454fd3bb9b807f3e218477019a202f9","Autonomous underwater vehicles; Autonomy; Decision making; Mission management; Motion planning; Task assignment; Time management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994275147&partnerID=40&md5=885bce95bcdd4e7f6e4ef795867c10ce",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985990145&partnerID=40&md5=c0117416dcb16b1ad351bb5239b4249e","Clustering; Exploratory modelling; Multi-Pattern Approach; Pathways; Sustainability transitions; Transitions"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994759269&partnerID=40&md5=14c5c164ac7e35f7db185dc16c78e442",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84986880428&partnerID=40&md5=b83ca3f0823788083a0ae4921da30bf7","Energy mix; Energy prices; Exploratory modelling; Shale revolution; State stability; System Dynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994474392&partnerID=40&md5=1b0db52b0a87d1cbb71026b1a592a896",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978394264&partnerID=40&md5=a05924dada4918d240c774a3d2b54fea","Deep uncertainty; Exploratory modeling; Robust decision making; Scenario discovery"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979085712&partnerID=40&md5=d3e424c2afa328a6cc6c5f7706253af8","Climate change; Robust decision making; Scenario discovery; Scenario diversity analysis; Vulnerability based scenario analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995948067&partnerID=40&md5=6b9a3167f83f8b794b8803963df2ffef","climate impacts; Differential Split Sample Test; ensemble modeling; model transferability; multimodel averaging; rainfall-runoff modeling"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988723564&partnerID=40&md5=51a965218f49bcaaeea51e396f9895e7","Climate change; Climate resilience; Optimization model; Power systems planning; Robust decision making; Stochastic programming"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988514062&partnerID=40&md5=b0b6fe3253beb5a1dd6120c083c86e46","Energy security; European power system; Investment optimization; Robust Decision Making"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951777028&partnerID=40&md5=58165820f1b77b275c931bd2d92afff0","Business process model; Process mining; Scenario discovery; SOA"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978252830&partnerID=40&md5=4b72d65f2e9db5a8dc6192fa7da7ce68","Complex systems; Emergent properties; Forecasting; Landscapes; Modeling"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991094139&partnerID=40&md5=76fce25f7c6d2726fc90d4490dbb27ff","Hanjiang River basin; Optimal allocation model; Reliability; Vulnerability; Water diversion projects; Water resources; Water supply risk"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950970778&partnerID=40&md5=d82473b5bb3e003cc4c1169e3e1dad30","Container shipping; Deep uncertainty; Global freight logistics; Scenario discovery"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978139041&partnerID=40&md5=04912f04005c135b2429e25c3613c1db","Autoregulation; Biological control theory; Feedback control; Indirect response models; Integral feedback"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979939227&partnerID=40&md5=76c3f6ef62677e9d995ac3d263e503f3",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978717702&partnerID=40&md5=995ed5931a08c585e860d41330c42d11","energy; freight; GHG; heavy goods vehicles; Sim-heuristics; technology"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978062297&partnerID=40&md5=42b154f6d6c6d2f383c64be327b6f6f9",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954289299&partnerID=40&md5=e3360f16e7bdee175c8b4046faf43dfb","Decision theory; Robust optimization; Uncertainty; Wald's maximin paradigm; Worst-case analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975859162&partnerID=40&md5=cac3ea0191f47f7861a791ae73d12e2d",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84980325780&partnerID=40&md5=610078321cd5b616c6ec183daf0156ff","Default mode network (DMN); Functional connectivity (FC); Meta-analytic connectivity modeling; Normal aging; Structural equation modeling (SEM)"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978977087&partnerID=40&md5=108cd14a32ff0f50a4c0c19553ea191e","Agent-based modeling; Climate change mitigation; Exploratory modeling; Scenario discovery; Uncertainty"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977943161&partnerID=40&md5=5b1d66cea54d67abccfac4a1ae8ffed3","Database; Diversity; Emissions scenarios; Scenario discovery; Socioeconomic pathways"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978531510&partnerID=40&md5=29079a311a55f0b8307b7fc8c19f1905",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84974678582&partnerID=40&md5=c01ff300a6f87572cbc40c882aaba650","Advanced technology nodes; On-chip interconnect resistance; On-chip power networks; Power noise model"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969752485&partnerID=40&md5=25a6c69b6ad57569cedfa4ce9b79da0a","conceptual understanding; cyclic modelling; epistemological beliefs; Model-based inquiry"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960118746&partnerID=40&md5=5c704c4b2fc5fe5ec54bdb34371e6482","Deep uncertainty; Robust decision making; Scenario discovery"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958522250&partnerID=40&md5=68db05423f7c14b3b2b96104519f1127","Calibration; Evaluation; Robust decision-making; Sensitivity Analysis; Uncertainty Analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959900245&partnerID=40&md5=83d1973c3e62b25701ece21baca11132","Adaptive sampling; Behavioral spectrum; Exploratory modeling and analysis; Scenario discovery; System dynamics; Uncertainty"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84968677712&partnerID=40&md5=9d7ab48aca4e3102dfd1b60e0cb45a3b","Brain Networks; Decision Making; fMRI"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957088452&partnerID=40&md5=76d241f04bb8e1dcc4537bdd48f623c4","Agent-Based Modeling; Emissions; Exploratory Modeling and Analysis; Net revenue; Planning and forecasting; Vehicle to Grid"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961288888&partnerID=40&md5=66a5a29b269d2e75269c7ddb386295ee","civil society; climate adaptation; inclusion; justice; participation; urban planning"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954329166&partnerID=40&md5=705d287dd380ee1f7a9331296ca50fc7","Climate change; Robust decision making; Water management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961912390&partnerID=40&md5=3b5c0300c8ec6dfbe393699641682a9a","CCF; FTA; fuzzy β factor; hybrid framework; uncertainty"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960462047&partnerID=40&md5=73e229d9c8ec1f42e46742fe62ebf1b0","Appraisal; Cost–benefit analysis; Disaster risk management; Economic efficiency; Multi-criteria analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965139286&partnerID=40&md5=cb0f485055497d6accf17b58915b42ef",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955474448&partnerID=40&md5=73c78aca3634f5a5a875f237ed6e1169","Fuzzy sets; Life cycle analysis; Two-stage programming; Water resources management"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959295395&partnerID=40&md5=1e467b45aff60240234fa4b715ff5cc7","Acacia erioloba; Arid; Ecohydrology; Faidherbia albida; Info-gap decision theory; Robust decision making; Species coexistence; Tamarix usneoides"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987736300&partnerID=40&md5=aaad02a46a54a6c4b745caa9dbcfb6a2","Exploratory modelling; Numerical model; Rocky coast"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954482916&partnerID=40&md5=71e2d8680b0fa2c154ef24ce83a84d9a","Adaptation; Climate change; Economic decision-making; Robust decision-making"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951862110&partnerID=40&md5=54cc8460f7b1ff8220bfe41d0d951350","Buildings; Cradle to gate; Embodied carbon; Embodied energy; Life cycle assessment; Spain"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957076548&partnerID=40&md5=13eac538f2eaa321c8ed037306f6d9a8","Agent-based modeling; Electric vehicle; Exploratory modeling and analysis; Inherent uncertainty; Market penetration"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84975709121&partnerID=40&md5=b908afccb6a473dc56cce3b6209f8f7f","Climate change; Deep uncertainty; Robust decision making"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992217822&partnerID=40&md5=4e26e36de16227be3154a64ecc21d207","Adaptation decision making; Barriers, opportunities and entry points; Developing countries; Robust decision making approaches; Uncertainty"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981501196&partnerID=40&md5=17a7e80ed26a7972943e5f7ff32b355e",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953350016&partnerID=40&md5=acb3d2ed9a6e09c95f8ea36c3c3a3afa","Adaptation; Climate change; Europe; Impact assessment; Institutions; Robust decision-making; Social science"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84985953092&partnerID=40&md5=342cb6cf8db9f4dfcada708496c67a1c",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978204067&partnerID=40&md5=34d8f1e5a09a9faba1feb6f53f15e75d",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978424178&partnerID=40&md5=793fa54c41ba31e702647e270157ead1",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976906537&partnerID=40&md5=17d431fb4f97d370b4e6dc9e26f0f4a1","Information-gap decision theory; Private investors; Transmission expansion planning; Uncertainties"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978429658&partnerID=40&md5=cbb527241cb67be7c55cbaff6599befb",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995550673&partnerID=40&md5=4c7894d64a5a447d4ffbabb816433aa5","Climate impacts; Differential Split Sample Test; Ensemble modeling; Model transferability; Multimodel averaging; Rainfall-runoff modeling"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976402537&partnerID=40&md5=e3539aa8723851da528d75a40d9348dd",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992364759&partnerID=40&md5=e848aedf03f3f8ac332b85628ec3da83","Design Space Search; Form-Active; Form-Finding; Hybrid Structures; Interactive Modelling; Shaping; Topology"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994568483&partnerID=40&md5=7084a17c4009eec66a2a47cb3aec4427","Agent-directed simulation; Exploratory modeling; Model-driven engineering"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949198542&partnerID=40&md5=5af34adc332b4246102a9b23b57741cd","Boosting; Electronic health record; Ensemble learning; Healthcare; Machine learning; Privacy-preserving data mining"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979620079&partnerID=40&md5=ae842c8f71387408d219c19a6e14249e","Science technology engineering and maths (STEM); Spreadsheets; Visualisation"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920169510&partnerID=40&md5=190dc8aa8f17bbf552ce14244d7e54a9","HPV-16/18 AS04-adjuvanted vaccine; human papillomavirus; persistence"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951856906&partnerID=40&md5=fef3607c67fca36a9a1166c53ac8da7f","Adaptation; Fresh water supply; Resilience; Robustness; Uncertainties"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939535868&partnerID=40&md5=ac493b140ec32171879ec3994c2a272e","Deep uncertainty; Risk assessment; Robust decision making; Robustness; Scenario discovery; Threshold"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960465254&partnerID=40&md5=5fe09431832588e2bd4876c5d1a31cec","Big data; Decision-making; Maintenance; Performance monitoring; Reliability"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941061686&partnerID=40&md5=87d6780badde378672c6f0d655a72599","Causal chain; Causal network; DPSIR; Key nodes"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925707964&partnerID=40&md5=cd791b2a773887b03d52ea22817fcf83",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941283807&partnerID=40&md5=fd2f7265a95ea4ed36c1d98951858648","Biofuels; Decision-making under uncertainty; Microalgal biorefinery; Stochastic mixed integer nonlinear programming (sMINLP); Uncertainty analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946563494&partnerID=40&md5=2ab285430d11a3ff467df5bf02bef772","influence diagram; robust decision making; severe uncertainty; unmanned aerial vehicle"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956789526&partnerID=40&md5=a07cd181dc21a059669e6ba6093bbddc","bootstrapping; Environmental Flow Requirements; overall model uncertainty; robust decision making; water scarcity and vulnerability indicators"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995755407&partnerID=40&md5=98af5b7b7e86f965b5039913b30b1049","Active learning; Interactive design; Preference elicitation; Procedural modeling; Regression"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929582555&partnerID=40&md5=1b06fcf3223c9df52680cb9735f5c0bb","Ecosystem services; Environmental change; Integrated assessment; Policy appraisal; Response options; Robust decision-making; Typology"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954305975&partnerID=40&md5=979e1017b1c42bb298ad6a3236591938","Germany; Rail automation; Scenarios; Technology roadmap"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941170354&partnerID=40&md5=dac93c4f4c6bc0194f07944dd0769d16","IIASA; Modeling; Treatment of uncertainty"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955170921&partnerID=40&md5=0f921b9dd830ca4537713842d89ac2f1","Computational techniques; multiple Nash equilibria; riot models; robust decision making; threshold models"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938569181&partnerID=40&md5=36ee35026b4ccf33e2522c2e5ceccd98","Energy system transitions; Public acceptability; Public perception"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938059213&partnerID=40&md5=ab2bc4569352e5e1c0ea688ae3c98c60","Agent based modeling; Climate change; Coalition formation; Policy persistence; Sustainability transitions; Transformation pathways"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937828100&partnerID=40&md5=8533e49bee68c8d27e03e9bd8bdf2db3","Decision making; Ecological coefficient of performance; Exergetic performance criteria; Irreversibility; Optimization"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937510436&partnerID=40&md5=27e1b068a934553e418c7b331816ebcc",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937116207&partnerID=40&md5=319cc7d9e26a1181fd758682af8efc78",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84931031051&partnerID=40&md5=30a72b2c887b47e735c7989bdd2f6131",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939971051&partnerID=40&md5=eaf74e614e6c491a61f0c8a747994ecc","p-Hub location-allocation median problem; Risk analysis and management; Risk aversion coefficient; Robust decision making; Two-stage stochastic programming"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925340714&partnerID=40&md5=b05548783051bfbe949133850897ff83","Precipitation; Radar; Rivers and streams; Statistics; Uncertainty principles; United States"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963594613&partnerID=40&md5=1cf9874aa4091e05f4bcd10cabb47693","Bioenergetic modeling; Connectivity; Essential habitats; Life cycle adaptation; Phenotypic plasticity; Population dynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84920189724&partnerID=40&md5=0d8835a00f79c78cea52f13180dac6f1","Decision making; Decision support; Robust decision making; Scenario; Scenario discovery"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948447379&partnerID=40&md5=1a90d713db4fde68d02da90413d4e465",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935139870&partnerID=40&md5=afbe01cb982b08ae582534941664a5a1","Fiscal sustainability; Messy problems; Robust decision making; Societal ageing; System Dynamics"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965147247&partnerID=40&md5=b07f388a4ffdd6ad48b1d6546f891a54",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946067358&partnerID=40&md5=45680d11c67aec130af6ad85b269d885","Critical infrastructure; food supply chain disruption; robust decision-making; scenario-based optimization; stress testing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944524446&partnerID=40&md5=710f23c02d715dbb3538b38532144345",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939499206&partnerID=40&md5=e3b034b3354a8af8acabc189dda3be1b",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939545496&partnerID=40&md5=57d63ab39323aaffc6f38e01da4a1147","A posteriori decision making; Deep uncertainty; Lake eutrophication; Many objective; Robustness analysis; Utility"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926387585&partnerID=40&md5=347ec641608b4fb4a723a03604a03286","Decision support system; Multi criteria analysis; Preference information; Robustness"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907783083&partnerID=40&md5=0bae1b585b7ed1cdf60be2f6f0b2d5aa","Fuzzy variables; Interior point method; Multi-objective optimization; Pareto optimal; Sensitivity; Uncertainty"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921966538&partnerID=40&md5=cb252413f7078340d0ef4fe415dbbb77","Additional positive feedback; Bifurcation; Bistable switch; Genetic regulatory network; Signal processing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944874118&partnerID=40&md5=ab05651c676fa75a02a43086647cda67","climate impacts and food security; globus galaxies; science gateways"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958983941&partnerID=40&md5=ca3b65f1a7eeedb701c87d63489ddf2e",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922684275&partnerID=40&md5=c5871778dccce209e5006645d1fc7155","Expected utility maximization; Marginal utility function; Portfolio optimization; Random target; Robust optimization; Utility function"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938236112&partnerID=40&md5=ae1ea0c7b082109dab325c4ffb30b135",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912558988&partnerID=40&md5=a344559702d00aed22aa1a231de62c40","Assessment; Decision making; Infrastructure; Infrastructure systems; Robust decision making; Sustainable development; Uncertainty principles; United Kingdom"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944519930&partnerID=40&md5=feddf114f20f6be3a47e1018256ba22d","Adaptation; Adaptation assessment; Climate change; Climate information; Impact assessment; Risk management; Robust decision making; Uncertainty"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947041776&partnerID=40&md5=f993f594c8b33efc21799475ac4bbc14","coastal zone; Delphi; ecosystem services; natural resources; social values"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940544036&partnerID=40&md5=4bb36bf79aa18b9a27756fc7ee145150","Microalgal biorefinery; Stochastic mixed integer nonlinear programming (sMINLP); Uncertainty analysis"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940514818&partnerID=40&md5=0d9d8d403f89b42bd290ecc36eedeea9",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945537843&partnerID=40&md5=669a10d9ec56221d4700898882512c3f","Climate change policy; Energy systems modelling; Mitigation; Uncertainty"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940051202&partnerID=40&md5=b68022c3fd1fb2a49f81bb19b435bb54","Eco-design; Electric mobility; Green electricity; Multifunction; Pedestrian mobility; Smart cities"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922422529&partnerID=40&md5=1b19e721c83d2d08d00394f45af70536",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948461462&partnerID=40&md5=19f7febb908f323494762ced324de0a0","Axiomatic Design; Robust Lifecycle Approach; Systems Agility"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948451855&partnerID=40&md5=e008b75ec6a206edd5a4352d78142df3","Axiomatic Design; Robust Lifecycle Approach; Systems Agility"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947571814&partnerID=40&md5=77f613bdabc4325f269af6299d3fcd46","Evidence importance; Evidence reasoning (ER) rule; Evidence reliability; Fault diagnosis; Information fusion"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937636330&partnerID=40&md5=dd9043c70902218556417e36775cce54","adaptation strategies; climate change; coastal urbanization; damage function; hurricane economic impact; risk assessment"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935053870&partnerID=40&md5=464bb12f8fc8f4029d8742e2c6c18a38","climate change; CSS; Load allocation; MMR; MTR; regret analysis; robust; TMDL"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938930709&partnerID=40&md5=42862c36e62302c3aa6f04c03ba640fc","Automated system; Fuzzy logic; MIMO; Railway level crossing"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923320918&partnerID=40&md5=2eb463c9f5d80165e27101dc77fea271","Assistive technology; Brain; Cerebral palsy; Communication board; Computer interface; Electroencephalogram; Human-computer interaction; Sensory motor rhythm"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958559452&partnerID=40&md5=7327e384a297478e6acab0393a1bdc1b",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946059614&partnerID=40&md5=3182de082612c84b2a977b7f162590d6",
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942015585&partnerID=40&md5=41b8eb01a61bd91507e5802911829d64","Electric vehicles; Environmental damage cost; Inherent uncertainty; Life cycle cost; Stochastic optimization; Water footprint"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923841945&partnerID=40&md5=24537ccf579f769499a28ad88734cee3","Ebola virus; Exploratory modelling and analysis; System dynamics; West Africa"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84932600124&partnerID=40&md5=96ff82b9a39766cfe9c3a41e1bd59254","Biogas; Biomethane; Exploratory modeling and analysis; Multi-objective robust optimization; System dynamics; Uncertainty"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923511359&partnerID=40&md5=9553bad84a1a994771c627be50d5f9a4","Dynamic modelling; Exploratory modelling; Historical planning; Infrastructure evolution; Strategic planning; Urban form"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922990374&partnerID=40&md5=acd1b151587e3295589cdbd09fd5cff0","Model; Model-based inquiry; Model-based learning; Modeling pedagogies; Scientific model"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937677686&partnerID=40&md5=f353e43abb1113289f4cf9f25cef3371",
