"time","sNPVProfit1","sNPVProfit2","sNPVProfit3","sNPVProfit4","sValueOfBacklog1","sValueOfBacklog2","sValueOfBacklog3","sValueOfBacklog4","sBacklog1","sBacklog2","sBacklog3","sBacklog4","sInstalledBase1","sInstalledBase2","sInstalledBase3","sInstalledBase4","sPrice1","sPrice2","sPrice3","sPrice4","sCumulativeAdopters","sReportedIndustryVolume","sCumulativeProduction1","sCumulativeProduction2","sCumulativeProduction3","sCumulativeProduction4","sPerceivedCompTargetCapacity1","sPerceivedCompTargetCapacity2","sPerceivedCompTargetCapacity3","sPerceivedCompTargetCapacity4","sSmoothCapacity11","sSmoothCapacity12","sSmoothCapacity13","sSmoothCapacity14","sSmoothCapacity21","sSmoothCapacity22","sSmoothCapacity23","sSmoothCapacity24","sSmoothCapacity31","sSmoothCapacity32","sSmoothCapacity33","sSmoothCapacity34","sInvestimentoNaoRealizadoPeD1","sInvestimentoNaoRealizadoPeD2","sInvestimentoNaoRealizadoPeD3","sInvestimentoNaoRealizadoPeD4","sPatentesRequisitadas1","sPatentesRequisitadas2","sPatentesRequisitadas3","sPatentesRequisitadas4","sPatentesEmpresa1","sPatentesEmpresa2","sPatentesEmpresa3","sPatentesEmpresa4","sPatentesEmDominioPublicoUteis","sInvestimentoPeDDepreciar1","sInvestimentoPeDDepreciar2","sInvestimentoPeDDepreciar3","sInvestimentoPeDDepreciar4","sPatentLefts","fIndustryOrderRate","aOrderShare1","aOrderShare2","aOrderShare3","aOrderShare4","aPerformance1","aPerformance2","aPerformance3","aPerformance4","aPatentesEmpresaTemAcesso1","aPatentesEmpresaTemAcesso2","aPatentesEmpresaTemAcesso3","aPatentesEmpresaTemAcesso4","aNonAdopters","fReorderRate","aIndustryShipments","aIndustryVolume","fNPVProfitChange1","fNPVProfitChange2","fNPVProfitChange3","fNPVProfitChange4","fNetIncome1","fNetIncome2","fNetIncome3","fNetIncome4","aNPVIndustryProfits","VariacaoDemanda","fInvestimentoPeD1","fInvestimentoPeD2","fInvestimentoPeD3","fInvestimentoPeD4","aAttractivenessFromPerformance1","aAttractivenessFromPerformance2","aAttractivenessFromPerformance3","aAttractivenessFromPerformance4","aAttractivenessFromAvailability1","aAttractivenessFromAvailability2","aAttractivenessFromAvailability3","aAttractivenessFromAvailability4","aAttractivenessFromPrice1","aAttractivenessFromPrice2","aAttractivenessFromPrice3","aAttractivenessFromPrice4","Lever","Scenario","LeverCode","CasoBase","aSwitchForCapacityStrategy1","aPercPeDAberto1","aDesiredMarketShare1","aOrcamentoPeD1"
2028,324026285.571975,-29174761.9305372,-543072511.742519,404552539.863486,52113767.6957322,10906.5837275111,21393905.3607554,90602245.5010753,466.468363513593,0.0509653471016054,206.389849318335,855.75470024261,11261.4618608072,1970.13983598701,4676.69354587006,19147.0530751155,111715.20543815,213999.999990112,103766.838336851,105813.257181205,35371.5121962015,6084.70098777464,119176.807031271,102442.884237545,106507.001316995,133594.8817271,5377.23234038955,7028.98278506893,5424.32775486698,3856.40547488133,1848.2464269242,200,1801.24012983783,3366.19547250016,1861.53180964641,200,1814.18762653031,3390.39202687649,1877.03561344546,200,1829.29712338158,3418.62897266176,27944732.1736215,211186.238889961,15217978.5307636,66848274.0706007,27.1060924903114,2.75538618561559,15.7650021791099,62.7311987564397,107.711499304215,85.4258389141614,43.8389280658756,80.6299508815618,194.200784499781,393206929.261928,247549559.358929,198648484.535748,634288119.451859,77.4436688549246,6051.75380476297,0.304855131983109,3.28880410043461e-05,0.136074850695637,0.559037129280249,8.35281447444211,7.39443490761128,6.80717013110339,8.52838499688046,406.462045149232,359.825678454482,331.248383599691,415.005602992707,1466.77327381595,5419.46733416763,6110.26568537788,6051.75380476297,24723769.1597703,-8264697.06075731,-37932138.0435309,33845476.5589841,36883529.4513268,-12329479.193761,-56588100.3676775,50491517.8341311,156331551.762404,-0.00246382802345469,20845507.0782929,5447.44648583481,11364952.947557,50153649.1508615,0.00166994730300866,0.000729024641838088,0.000390918544666744,0.00190492506969525,0.0296827114231123,0.0296827114231123,0.0296827114231123,0.0295489549909485,0.000114905182233339,2.83951828214193e-08,0.000219099035303365,0.000185555175132993,1,2,"1",1,1,0,0.3,0.1
2028,53388523.8511677,59707445.9419249,72966262.6257617,528357447.17961,20142328.8975928,19794005.4367362,80424939.6585746,170470838.795915,126.467030433832,122.059342225502,655.485294366519,1429.76318250683,2700.11021326267,2845.86329469787,8581.21606856832,18231.1278040894,154465.809120045,157312.758721112,121322.815382307,117696.504363915,31479.592230151,5034.29698927831,103735.84059561,104058.975106705,115108.354571736,134065.997455269,4960.91102395002,4960.91031009293,3812.53806872137,2343.05299365214,403.090455526304,403.091169383394,1552.0501108691,3020.94848582385,384.278398554865,384.279112411955,1530.54191948535,3002.13642884361,363.127398839377,363.12811269646,1508.36311040402,2980.9854290185,5891904.69998222,7517410.54267146,30135002.2017082,62295146.9268357,5.14591428434945,6.4685096619928,28.2895529345772,60.7780313557982,85.9059542139477,87.9575997811279,53.5985854263925,82.1667541692963,196.162954557698,250927651.308832,272211072.303827,303383270.087185,649742786.63142,90.7439033342134,5086.44221974656,0.0778282913433606,0.0778637640420124,0.28737827739029,0.556929667224337,7.76706991024155,7.83641072309365,7.57875481749322,8.83347183788848,377.958726390209,381.332967335032,368.794996252881,429.851643417006,920.656602904019,4732.51101376765,5215.60405095836,5086.44221974656,14060321.5027451,13742519.1016087,24981816.1392619,52742788.8250654,20975534.8745718,20501429.4035868,37268490.3084842,78682994.9917105,714419679.598465,0.00532852849230903,5783508.53503826,7353037.41778458,24578267.9027856,49250057.5359286,0.00103099395457085,0.00109568180232169,0.000869044907247529,0.00236496306830182,0.00744842270572908,0.00883552101973037,0.00221207558108908,0.00117349598230824,3.57051219916929e-06,2.83355887344537e-06,5.26653792581819e-05,7.06981162569878e-05,2,2,"2",0,2,0,0.3,0.1
2028,257030454.908221,-30570791.7482935,-502236008.012812,411975931.357701,43574173.9336032,13253.2610565294,27729215.1881144,91559402.9115068,395.786051419807,0.0619311280358517,265.164747115447,861.313717345799,10512.6454499813,1962.97250047684,5261.8504694249,19200.6094021181,110124.140040613,213999.999993966,104741.612294097,106228.850059984,35247.9042690103,5986.5390804266,118229.25177156,102433.125607275,107285.131411586,133714.343638767,5286.18450678291,6905.36970128936,5332.45169197121,3792.1032038246,1815.37439578804,200,1769.20413032543,3306.32592222239,1829.83645474819,200,1783.29837694733,3332.66554700701,1846.72196968157,200,1799.75444398898,3363.4189915107,23744987.5034591,197562.91392385,18838234.2189776,66808483.5819643,24.6134669212898,2.69596237575052,17.7592668729904,63.0471491902809,83.2574533728362,85.3885532187369,44.2576189253418,80.6857604485633,194.239845532084,381722196.623777,247277828.772809,208659869.122105,635646946.474049,101.640221313802,5952.11419113449,0.26258659442083,4.09249432206827e-05,0.178184441833078,0.559188038802871,8.29710210264574,7.89049053941447,7.35479949993308,9.03406769944796,403.750987140012,383.964582440373,357.896952644218,439.61297648473,1279.81506635529,5402.31613602793,6007.46991016386,5952.11419113449,9243727.62149032,-8260256.39329372,-25460542.6205608,34198830.5967508,13790021.1640081,-12322854.4963648,-37982666.2967008,51018660.1146828,136199586.504817,-0.00252293611935251,17429669.5734413,6619.52744984038,14730420.6768949,49543132.251854,0.0015997573314347,0.00114808448769657,0.000701189425962155,0.00270481123575449,0.0296827114231123,0.0296827114231123,0.0296827114231123,0.0272481996878011,0.000130752160621782,2.83951828125343e-08,0.000202425329684806,0.00017939779485367,3,2,"3",0,1,0.5,0.3,0.1
2028,6345048.57590352,64891954.0278682,79828764.8369721,532737202.74155,4685971.53532676,19038502.9607877,100017353.452568,212956076.929438,21.8970632491926,107.424591240335,783.815731768773,1721.99345890653,2263.31293672727,2840.24070938417,8496.04478328604,18123.8735774997,213999.999999999,176689.936668167,127636.46031211,123342.488775988,31146.102852062,4639.93743483469,103194.906520581,104083.952751473,115006.622639998,133921.136049993,4538.70007333426,4538.69964084899,3396.69469556572,1926.83956806597,261.587728690717,261.588161175993,1403.59311833663,2873.44823395878,261.68216111919,261.682593604465,1403.68760172905,2873.54266638119,261.771942266716,261.772374751988,1403.77732474902,2873.63244745182,2379975.33381491,7020045.35514642,29975154.0384089,62625741.9956967,3.53195227240322,6.65490983097578,28.2553414202298,60.7755888146147,72.5032186682765,88.1053991582687,53.5768721617579,82.1188386821882,196.118318622199,242780290.708321,272660903.073558,303020977.140162,649348806.200008,103.519421718095,4639.66277670282,0.0188592597464658,0.0567617110952929,0.303900234387569,0.620478794770672,7.72009630038505,8.1048987831619,7.83922580401558,9.09405722140386,375.672911280974,394.398049329539,381.469953922282,442.532167837097,-544.682908645605,4639.66277670282,4626.7703999496,4639.66277670282,-922044.637969397,12220903.3937667,27224168.3584029,58136874.6084995,-1375528.96325045,18231445.5103092,40613686.7298094,86730025.3846332,683802970.182294,-2.28605658794905e-05,1874388.61413071,5792914.81747397,23789054.7623222,49243698.019099,0.000988742064610564,0.00137325046498288,0.00109836706941164,0.00281239315522677,0.0296827114231123,0.00310899752457725,0.000387629614143465,0.000218100425697809,2.83951827986225e-08,5.87478470577592e-07,3.15408352660472e-05,4.46993292212804e-05,4,2,"4",0,2,0.5,0.3,0.1
2028,206427258.467172,-31824367.7998691,-467408164.875386,418239609.810315,37781405.118984,15473.8473575479,32099091.2439104,91817420.5442574,345.304877917989,0.0723076990126959,303.219112152009,860.343968640989,9912.34196639775,1956.99755106968,5696.10847744558,19165.8074109985,109469.917645695,213999.999996151,106070.325443963,106651.694354602,35027.6956723215,5865.6146036265,117446.970270336,102424.412362375,107879.376759567,133724.146363549,5176.99882075382,6757.13136524113,5222.27278315425,3714.99112657418,1776.44790212006,200,1731.26765092137,3235.42943091224,1790.28943917007,200,1744.75715731506,3260.63890442802,1807.05635468296,200,1761.0976412654,3291.17634481751,20780314.5878293,187553.957956055,21465203.1353293,66179279.0981323,22.6760266297397,2.64867170092572,19.3299363157323,63.0661905247862,64.2482443147462,85.3544879838884,44.6170315672084,80.7313792609126,194.272233440719,372790951.441649,247043819.802233,216523024.003912,635738917.370343,120.401953974959,5831.76415236447,0.233651715637625,4.89581247922196e-05,0.20790736595892,0.558391960278663,8.25286753323504,8.27503874846676,7.78068285600238,9.42161654544783,401.598458360164,402.677347100492,378.621155298618,458.471757201377,1076.6913571824,5372.06767315129,5885.56153589355,5831.76415236447,-386368.818789043,-8256035.58554816,-15930374.6349141,34267450.880266,-576394.546267979,-12316557.791126,-23765326.3230429,51121029.5483899,125434335.602232,-0.00251972613817273,15112562.0475936,7728.63047826752,17051803.0950801,48670411.9986323,0.00154549680076111,0.00157253169493779,0.00104347409831847,0.00344955806292854,0.0296827114231123,0.0296827114231123,0.0296827114231123,0.0252809367424172,0.000137885997566512,2.83951828074952e-08,0.000181721998597338,0.00017334264009526,5,2,"5",0,1,0.9,0.3,0.1
2028,-5319560.64210644,68825196.356679,83587931.7811576,532046286.63496,4430871.93647012,19099120.1147655,101323585.970906,214717098.710821,20.7050090489267,107.12304506059,791.717366526898,1732.93724896406,2213.37378170411,2859.26339568958,8467.44439156685,18082.8354023243,214000,177777.294265915,128027.11332037,123597.548885248,31062.8996408854,4625.29036986051,103098.489757043,104126.347508775,114966.524744404,133851.546733497,4526.16462485779,4526.16439574862,3385.65969513355,1916.42387030606,258.612301854635,258.612530963808,1399.11723331132,2868.35305640617,258.720639670126,258.720868779299,1399.2255807891,2868.46139421642,258.828084757386,258.828313866558,1399.33302764506,2868.56883923696,2175383.54263155,7030138.185251,29959390.6994314,62594271.7003107,3.30538604711769,6.76894411263203,28.2124708010005,60.6713248448229,62.1429683429747,88.2091143695706,53.5619804185367,82.0825554448257,196.083476762318,241310583.794359,273308252.108113,302832715.834031,648587200.475966,113.537787179225,4624.95626993588,0.0179820980560331,0.0563149090151564,0.303957918922013,0.621745074006798,7.7076986014124,8.31453543331391,8.04320067235745,9.29633085722634,375.069618331635,404.599322423745,391.39571516108,452.375144231191,-542.742673000663,4624.95626993588,4609.55021694428,4624.95626993588,-1343840.04361135,12247821.1785384,27432164.3350085,58389958.9893118,-2004773.76673873,18271602.1264373,40923980.2647197,87107582.9145163,679139854.13069,-2.6731376269214e-06,1772348.77458805,5762175.44382257,23783679.5778927,49250423.6026006,0.000977799147615406,0.00162149812576902,0.00130555114252735,0.00319580412159122,0.0296827114231123,0.00295950043227587,0.000349204937524977,0.000203649559460562,2.83951827986215e-08,5.3783128319791e-07,3.0556016021265e-05,4.37830747211773e-05,6,2,"6",0,2,0.9,0.3,0.1
2028,251024883.214207,-78187123.906113,-211965320.890288,425568716.103867,35366055.3659445,17698.0804127816,36434280.2298864,94362562.5131247,295.837969957039,0.0827013103401014,336.283128695916,874.162151038186,8034.15191293981,1804.20761930807,7665.73268121123,19130.8110100167,119377.779919235,214000,108319.496882402,107718.375256375,34928.7691744773,5628.72691933661,113699.734583409,102118.138190995,112528.624440969,134626.984182337,5055.73547312161,6013.57550944777,4520.98632844153,3050.42921733239,1158.81442874811,200,1694.01359717748,3165.80827104154,1154.61540821804,200,1687.87525639029,3154.33681056039,1151.67349738248,200,1683.574622196,3146.29969484555,17865274.6067503,52739.9268683354,24651806.9562096,61239014.1560347,18.710410271117,1.77303919387108,23.818757210246,61.0872834921915,100.918093972491,84.1233059701698,49.9667746483516,81.5647099286357,195.673775916942,342896906.906886,240214689.141113,264737040.659871,639941153.072634,85.3316725851618,5634.95619893621,0.204085064654664,5.70034751872816e-05,0.238628066792939,0.557229865077211,8.2330468967126,7.53984941375809,7.29097162090579,8.70618070083208,400.633952745712,366.901793666145,354.790980360702,423.657441922931,650.543855922129,5357.97584757167,5643.43651225306,5634.95619893621,19645219.6356501,-8262594.92170973,-3140032.92218307,35467376.1732624,29307223.8430501,-12326343.1708119,-4684378.6647194,52911107.7358063,386441154.521673,0.000538284400654522,13767721.7964397,8839.55492932615,19354758.9142062,47061819.7215305,0.00152160153107267,0.000838007230301523,0.000657995050917376,0.00216484911084402,0.0269455873473438,0.0296827114231123,0.0296827114231123,0.0200637794707699,6.16761567640515e-05,2.83951827986208e-08,0.000151387493109592,0.000158960301872722,7,2,"7",0,1,0,0.2,0.1
2028,53388523.8511677,59707445.9419249,72966262.6257617,528357447.17961,20142328.8975928,19794005.4367362,80424939.6585746,170470838.795915,126.467030433832,122.059342225502,655.485294366519,1429.76318250683,2700.11021326267,2845.86329469787,8581.21606856832,18231.1278040894,154465.809120045,157312.758721112,121322.815382307,117696.504363915,31479.592230151,5034.29698927831,103735.84059561,104058.975106705,115108.354571736,134065.997455269,4960.91102395002,4960.91031009293,3812.53806872137,2343.05299365214,403.090455526304,403.091169383394,1552.0501108691,3020.94848582385,384.278398554865,384.279112411955,1530.54191948535,3002.13642884361,363.127398839377,363.12811269646,1508.36311040402,2980.9854290185,5891904.69998222,7517410.54267146,30135002.2017082,62295146.9268357,5.14591428434945,6.4685096619928,28.2895529345772,60.7780313557982,85.9059542139477,87.9575997811279,53.5985854263925,82.1667541692963,196.162954557698,250927651.308832,272211072.303827,303383270.087185,649742786.63142,90.7439033342134,5086.44221974656,0.0778282913433606,0.0778637640420124,0.28737827739029,0.556929667224337,7.76706991024155,7.83641072309365,7.57875481749322,8.83347183788848,377.958726390209,381.332967335032,368.794996252881,429.851643417006,920.656602904019,4732.51101376765,5215.60405095836,5086.44221974656,14060321.5027451,13742519.1016087,24981816.1392619,52742788.8250654,20975534.8745718,20501429.4035868,37268490.3084842,78682994.9917105,714419679.598465,0.00532852849230903,5783508.53503826,7353037.41778458,24578267.9027856,49250057.5359286,0.00103099395457085,0.00109568180232169,0.000869044907247529,0.00236496306830182,0.00744842270572908,0.00883552101973037,0.00221207558108908,0.00117349598230824,3.57051219916929e-06,2.83355887344537e-06,5.26653792581819e-05,7.06981162569878e-05,8,2,"8",0,2,0,0.2,0.1
2028,222904655.906399,-81912596.470472,-205429085.208526,407805444.116649,30269096.6888688,19442.6570272984,39499427.8861499,94606800.2808269,255.011361545584,0.0908535375107403,361.961825384493,876.907331550638,7827.67275476684,1792.7886098054,7911.17987021412,19162.4701190504,118471.099375184,214000,109047.256883542,107660.044864072,34975.582725855,5626.32085407584,113582.152164346,102085.836023057,113108.87083585,135060.860088299,5089.24364094168,6055.07363027511,4550.80433146972,3070.09928813882,1166.65965691515,200,1705.48214887844,3187.24094188449,1163.53877782518,200,1700.91988982955,3178.71489613392,1159.68511100003,200,1695.28640457181,3168.1869202939,16160551.7885244,50569.1184855772,26078365.5600511,60453120.1408938,17.7653195519553,1.7342370300038,24.1935937398879,60.1191532064592,80.2272272522045,83.9906250967469,50.2497126995589,81.7436971633444,196.109142651309,339376058.621651,239580991.903399,268848037.664047,640226281.321927,106.746803426431,5631.94558732857,0.179746465212385,6.26476704287237e-05,0.257763130276392,0.562427756840794,8.23745570677563,7.98535419972414,7.75351769059931,9.1389925439648,400.8484928819,388.58080820449,377.299252517187,444.718796447543,622.314556140038,5366.63523259907,5636.44308216425,5631.94558732857,11326716.520577,-8260205.90867395,2127251.67041477,35837792.6704853,16897475.4485782,-12322779.1821621,3173486.5800234,53463704.2147772,343368418.34405,0.000435335319825412,12107638.6755475,9710.90823164822,20983038.4780979,47363125.113859,0.00152689443225012,0.00124422950390437,0.00101867500097741,0.0028948003558468,0.0296827114231123,0.0296827114231123,0.0296827114231123,0.020363209237839,6.63883056908398e-05,2.83951827986208e-08,0.000142700464498458,0.000159715002454019,9,2,"9",0,1,0.5,0.2,0.1
2028,6345048.57590352,64891954.0278682,79828764.8369721,532737202.74155,4685971.53532676,19038502.9607877,100017353.452568,212956076.929438,21.8970632491926,107.424591240335,783.815731768773,1721.99345890653,2263.31293672727,2840.24070938417,8496.04478328604,18123.8735774997,213999.999999999,176689.936668167,127636.46031211,123342.488775988,31146.102852062,4639.93743483469,103194.906520581,104083.952751473,115006.622639998,133921.136049993,4538.70007333426,4538.69964084899,3396.69469556572,1926.83956806597,261.587728690717,261.588161175993,1403.59311833663,2873.44823395878,261.68216111919,261.682593604465,1403.68760172905,2873.54266638119,261.771942266716,261.772374751988,1403.77732474902,2873.63244745182,2379975.33381491,7020045.35514642,29975154.0384089,62625741.9956967,3.53195227240322,6.65490983097578,28.2553414202298,60.7755888146147,72.5032186682765,88.1053991582687,53.5768721617579,82.1188386821882,196.118318622199,242780290.708321,272660903.073558,303020977.140162,649348806.200008,103.519421718095,4639.66277670282,0.0188592597464658,0.0567617110952929,0.303900234387569,0.620478794770672,7.72009630038505,8.1048987831619,7.83922580401558,9.09405722140386,375.672911280974,394.398049329539,381.469953922282,442.532167837097,-544.682908645605,4639.66277670282,4626.7703999496,4639.66277670282,-922044.637969397,12220903.3937667,27224168.3584029,58136874.6084995,-1375528.96325045,18231445.5103092,40613686.7298094,86730025.3846332,683802970.182294,-2.28605658794905e-05,1874388.61413071,5792914.81747397,23789054.7623222,49243698.019099,0.000988742064610564,0.00137325046498288,0.00109836706941164,0.00281239315522677,0.0296827114231123,0.00310899752457725,0.000387629614143465,0.000218100425697809,2.83951827986225e-08,5.87478470577592e-07,3.15408352660472e-05,4.46993292212804e-05,10,2,"10",0,2,0.5,0.2,0.1
2028,179316126.597285,-81722467.1118616,-171856054.217735,403461940.428404,25813543.9957154,22031.644799502,43552166.0560868,96243984.0786694,217.822110203482,0.102951611212626,395.234349584794,890.720529702175,7364.89649078607,1791.59865477721,8314.39751308512,19115.1335878289,118346.176904187,214000,110156.070653763,107836.497240814,34877.406187579,5629.30306584863,112976.105895458,102082.570762666,113723.507549664,135078.732068311,5093.89835961093,6060.83825694139,4554.94643843661,3072.83171583525,1167.23231916674,200,1706.31929554897,3188.80541920512,1166.11538568823,200,1704.68650564509,3185.75402706093,1164.87011426629,200,1702.86610483835,3182.35202371209,14040050.5569003,52084.2090206637,28614921.7221038,60506406.1518545,16.2246312959362,1.7303331020748,25.7719533400481,59.6288370543567,63.6466621852228,83.9733999797002,50.6379173079409,81.7396073038546,196.207669139844,332164484.697939,239502604.110305,276848735.481733,639384225.877599,122.999285562062,5633.24424195843,0.153472977287227,7.13714758761647e-05,0.281908633854286,0.564547017382611,8.20107709351962,8.32093400635744,8.12994468869089,9.46484648629084,399.078248183065,404.910687783681,395.616825349895,460.575399060117,664.27279663775,5350.82742791671,5634.98966931004,5633.24424195843,2535720.9754379,-8255037.33684303,9403401.94147372,36310721.6269218,3782851.17748527,-12315068.5790533,14028227.2581384,54169231.312219,329199545.696092,0.000197371198065995,10325417.5982862,11004.0145510895,23135949.6849779,47647624.0299287,0.00148360011007871,0.0016295284594842,0.00140141733022695,0.00354005109850266,0.0296827114231123,0.0296827114231123,0.0296827114231123,0.0194918479688282,6.70651657809527e-05,2.83951827986208e-08,0.000130413585206668,0.000157442900525683,11,2,"11",0,1,0.9,0.2,0.1
2028,-5319560.64210644,68825196.356679,83587931.7811576,532046286.63496,4430871.93647012,19099120.1147655,101323585.970906,214717098.710821,20.7050090489267,107.12304506059,791.717366526898,1732.93724896406,2213.37378170411,2859.26339568958,8467.44439156685,18082.8354023243,214000,177777.294265915,128027.11332037,123597.548885248,31062.8996408854,4625.29036986051,103098.489757043,104126.347508775,114966.524744404,133851.546733497,4526.16462485779,4526.16439574862,3385.65969513355,1916.42387030606,258.612301854635,258.612530963808,1399.11723331132,2868.35305640617,258.720639670126,258.720868779299,1399.2255807891,2868.46139421642,258.828084757386,258.828313866558,1399.33302764506,2868.56883923696,2175383.54263155,7030138.185251,29959390.6994314,62594271.7003107,3.30538604711769,6.76894411263203,28.2124708010005,60.6713248448229,62.1429683429747,88.2091143695706,53.5619804185367,82.0825554448257,196.083476762318,241310583.794359,273308252.108113,302832715.834031,648587200.475966,113.537787179225,4624.95626993588,0.0179820980560331,0.0563149090151564,0.303957918922013,0.621745074006798,7.7076986014124,8.31453543331391,8.04320067235745,9.29633085722634,375.069618331635,404.599322423745,391.39571516108,452.375144231191,-542.742673000663,4624.95626993588,4609.55021694428,4624.95626993588,-1343840.04361135,12247821.1785384,27432164.3350085,58389958.9893118,-2004773.76673873,18271602.1264373,40923980.2647197,87107582.9145163,679139854.13069,-2.6731376269214e-06,1772348.77458805,5762175.44382257,23783679.5778927,49250423.6026006,0.000977799147615406,0.00162149812576902,0.00130555114252735,0.00319580412159122,0.0296827114231123,0.00295950043227587,0.000349204937524977,0.000203649559460562,2.83951827986215e-08,5.3783128319791e-07,3.0556016021265e-05,4.37830747211773e-05,12,2,"12",0,2,0.9,0.2,0.1
